Animalia	Porifera	Demospongiae	Poecilosclerida	Hymedesmiidae	Phorbas	Phorbas fictitius
Animalia	Porifera	Demospongiae	Clionaida	Clionaidae	Cliona	Cliona celata
Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Plebejus	Plebejus optilete
Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Feniseca	Feniseca tarquinius
Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Glaucopsyche	Glaucopsyche alexis
Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Plebejus	Plebejus argus
Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Plebejus	Plebejus idas
Animalia	Arthropoda	Insecta	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci
Animalia	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria subvittata
Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melanargia	Melanargia galathea
Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melanargia	Melanargia lucasi
Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Tuberolachnus	Tuberolachnus salignus
Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Essigella	Essigella californica
Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Eulachnus	Eulachnus rileyi
Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Cinara	Cinara pinea
Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Cinara	Cinara pruinosa
Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Cinara	Cinara obscura
Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Cinara	Cinara cedri
Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Cinara	Cinara confinis
Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Cinara	Cinara costata
Animalia	Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	Baetis vernus
Animalia	Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	Baetis fuscatus
Animalia	Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	Baetis melanonyx
Animalia	Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	Baetis alpinus
Animalia	Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	Baetis buceratus
Animalia	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Ecdyonurus	Ecdyonurus helveticus
Animalia	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Ecdyonurus	Ecdyonurus venosus
Animalia	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Epeorus	Epeorus assimilis
Animalia	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Rhithrogena	Rhithrogena semicolorata
Animalia	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Electrogena	Electrogena lateralis
Animalia	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Rhithrogena	Rhithrogena siciliana
Animalia	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Epeorus	Epeorus yougoslavicus
Animalia	Arthropoda	Insecta	Ephemeroptera	Leptophlebiidae	Choroterpes	Choroterpes borbonica
Animalia	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Rhithrogena	Rhithrogena reatina
Animalia	Arthropoda	Insecta	Ephemeroptera	Ephemerellidae	Torleya	Torleya major
Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Aratus	Aratus pisonii
Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Aratus	Aratus pacificus
Animalia	Arthropoda	Malacostraca	Decapoda	Varunidae	Cyclograpsus	Cyclograpsus integer
Animalia	Arthropoda	Malacostraca	Decapoda	Grapsidae	Pachygrapsus	Pachygrapsus gracilis
Animalia	Arthropoda	Malacostraca	Decapoda	Grapsidae	Pachygrapsus	Pachygrapsus transversus
Animalia	Arthropoda	Malacostraca	Decapoda	Grapsidae	Pachygrapsus	Pachygrapsus socius
Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Bathymodiolus	Bathymodiolus heckerae
Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Bathymodiolus	Bathymodiolus brooksi
Animalia	Arthropoda	Malacostraca	Decapoda	Ocypodidae	Austruca	Austruca annulipes
Animalia	Nematoda	Adenophorea	Desmodorida	Comesomatidae	Sabatieria	Sabatieria mortenseni
Animalia	Arthropoda	Malacostraca	Decapoda	Palaemonidae	Palaemon	Palaemon serratus
Animalia	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	Macrorhynchia	Macrorhynchia philippina
